,0_q70,0_q50,0_q30,0_q10,0_q05,1_q70,1_q50,1_q30,1_q10,1_q05,2_q70,2_q50,2_q30,2_q10,2_q05,3_q70,3_q50,3_q30,3_q10,3_q05,4_q70,4_q50,4_q30,4_q10,4_q05
0,1.6654543578624725,1.7249383628368378,1.7823217511177063,1.8673818707466125,1.9098795056343079,1.6652577221393585,1.724705308675766,1.782217264175415,1.8673537075519562,1.909645915031433,1.6653812229633331,1.7249861657619476,1.7822858095169067,1.8674114048480988,1.9095967710018158,1.6653237044811249,1.724969744682312,1.7824757993221283,1.8675481081008911,1.9100719690322876,1.6653721332550049,1.725023239850998,1.7823691070079803,1.8672384023666382,1.9098608195781708
1,1.7111226618289948,1.7714058756828308,1.8307013809680939,1.9200653433799744,1.9665324985980988,1.7111643552780151,1.7714924812316895,1.830806165933609,1.9200984239578247,1.9664092659950256,1.7111863195896149,1.7714345157146454,1.8307905495166779,1.9201349318027496,1.9664721488952637,1.711214154958725,1.7714306712150574,1.8308434188365936,1.9201074242591858,1.9665722250938416,1.711100548505783,1.7714197933673859,1.830717146396637,1.9201166331768036,1.9662253558635712
2,1.7925805449485779,1.8563540279865265,1.9217685461044312,2.0233070850372314,2.0777496695518494,1.7926407754421234,1.8564870953559875,1.9219704568386078,2.0236857533454895,2.0787205696105957,1.7926547527313232,1.8565818965435028,1.9219995141029358,2.0236499905586243,2.0781041979789734,1.79253089427948,1.8564273118972778,1.9219104647636414,2.023533344268799,2.0780749917030334,1.7928578555583954,1.8566316962242126,1.9220967590808868,2.0237101316452026,2.0779669880867004
3,1.8350013196468353,1.9021877646446228,1.971923977136612,2.082150101661682,2.141506850719452,1.8348858654499054,1.9022499322891235,1.9719379544258118,2.082295060157776,2.1416802406311035,1.8349566161632538,1.9021387696266174,1.971832126379013,2.081988573074341,2.1416282057762146,1.8350423872470856,1.9021097123622894,1.9719123244285583,2.0820881128311157,2.141496002674103,1.834925651550293,1.901993066072464,1.9716646671295166,2.0818387269973755,2.1415494084358215
4,1.902008593082428,1.975120633840561,2.053194284439087,2.178525745868683,2.2460139989852905,1.9018003642559052,1.9749245345592499,2.0530292987823486,2.178352475166321,2.246260404586792,1.9020015001296997,1.97487074136734,2.0530595779418945,2.1782439947128296,2.246425449848175,1.9021563529968262,1.9749351739883423,2.0531510710716248,2.1785702109336853,2.246406376361847,1.9020801484584808,1.975313425064087,2.05336195230484,2.1786649227142334,2.2467856407165527
5,1.9737926423549652,2.054860532283783,2.142841398715973,2.2864715456962585,2.364588975906372,1.9733963012695312,2.0547176003456116,2.1424508690834045,2.2857804894447327,2.3641746044158936,1.9736934900283813,2.054721713066101,2.1426567435264587,2.2863228917121887,2.36519455909729,1.9737261533737183,2.054849088191986,2.1428624391555786,2.2864532470703125,2.365224003791809,1.9735372364521027,2.0547086596488953,2.142828047275543,2.286076247692108,2.3645540475845337
6,2.050089180469513,2.1408265233039856,2.2404139041900635,2.404048204421997,2.493999183177948,2.0497727394104004,2.140331268310547,2.239936947822571,2.403696298599243,2.4935447573661804,2.049848198890686,2.1406401991844177,2.2400463223457336,2.404269218444824,2.4943231344223022,2.0497418642044067,2.1405029892921448,2.240143120288849,2.4038386940956116,2.49325168132782,2.0497884154319763,2.1407307982444763,2.240320920944214,2.403827130794525,2.494165778160095
7,2.1318262815475464,2.233619213104248,2.3462557196617126,2.531829297542572,2.6349517107009888,2.1314722299575806,2.2329055070877075,2.3461179733276367,2.5320038199424744,2.6345150470733643,2.1314722895622253,2.2335614562034607,2.3462142944335938,2.5322487354278564,2.635169804096222,2.131628692150116,2.2334299087524414,2.346227288246155,2.531721830368042,2.633727252483368,2.1317638158798218,2.2340041995048523,2.3465837836265564,2.532166838645935,2.635665774345398
8,2.2197105288505554,2.3337453603744507,2.4612691402435303,2.6711973547935486,2.7885396480560303,2.2193392515182495,2.3334218859672546,2.461377441883087,2.671741247177124,2.788007378578186,2.219312846660614,2.333612620830536,2.461399257183075,2.6709173917770386,2.788202464580536,2.2199039459228516,2.3339602947235107,2.461577832698822,2.670864522457123,2.7878023982048035,2.219761371612549,2.334196090698242,2.461832344532013,2.6711411476135254,2.788637399673462
9,2.314108729362488,2.4416576623916626,2.5857120752334595,2.8228505849838257,2.9553430676460266,2.3141828775405884,2.4420647621154785,2.5859967470169067,2.8238667845726013,2.9551252126693726,2.3135085105895996,2.440731942653656,2.5853021144866943,2.821154236793518,2.953658878803253,2.3142609000205994,2.441917061805725,2.5861003398895264,2.821858763694763,2.9549165964126587,2.3141937851905823,2.441580355167389,2.586109161376953,2.8218793272972107,2.954008460044861
