,0_q70,0_q50,0_q30,0_q10,0_q05,1_q70,1_q50,1_q30,1_q10,1_q05,2_q70,2_q50,2_q30,2_q10,2_q05,3_q70,3_q50,3_q30,3_q10,3_q05,4_q70,4_q50,4_q30,4_q10,4_q05
0,3.3880504369735718,4.062362313270569,5.313340961933136,7.326797366142273,8.388162851333618,3.2085678577423096,3.8978689312934875,5.408840715885162,7.137701630592346,7.546921968460083,3.5614248514175415,4.060870707035065,5.7160804271698,7.485599160194397,8.340337634086609,2.6127107739448547,3.3869054913520813,4.683017551898956,5.4435940980911255,5.452510952949524,3.4518739581108093,4.268907010555267,5.576113045215607,7.498493432998657,8.019373893737793
1,3.386582136154175,4.058975517749786,5.305683612823486,7.313930869102478,8.374420642852783,3.2096471190452576,3.896240234375,5.4022462368011475,7.126382112503052,7.5386176109313965,3.5607078671455383,4.057880878448486,5.7073280811309814,7.471928715705872,8.327728748321533,2.616667628288269,3.388325810432434,4.680758953094482,5.442116856575012,5.455273389816284,3.4514113664627075,4.265329897403717,5.56972599029541,7.485947251319885,8.009102582931519
2,3.385110914707184,4.055593013763428,5.298040688037872,7.301088452339172,8.36070454120636,3.2107226848602295,3.894615352153778,5.395664989948273,7.115083932876587,7.530336499214172,3.559990406036377,4.0549017786979675,5.69859766960144,7.458287954330444,8.315152883529663,2.6206175684928894,3.3897480368614197,4.678508460521698,5.4406516551971436,5.458048582077026,3.4509522914886475,4.2617568373680115,5.563341796398163,7.47342312335968,7.998854875564575
3,3.3836368918418884,4.052215278148651,5.29041200876236,7.2882667779922485,8.347014307975769,3.211794435977936,3.8929957151412964,5.389098703861237,7.103805303573608,7.522081136703491,3.559273362159729,4.051934599876404,5.689890503883362,7.444674134254456,8.3026123046875,2.624560534954071,3.391173839569092,4.676268041133881,5.439197778701782,5.4608389139175415,3.450497567653656,4.258189260959625,5.556962072849274,7.460919141769409,7.988633394241333
4,3.382159650325775,4.048842251300812,5.282799065113068,7.275468468666077,8.333349108695984,3.2128617763519287,3.8913804292678833,5.382547914981842,7.0925493240356445,7.513849496841431,3.5585561990737915,4.048978924751282,5.68120813369751,7.431090831756592,8.290105819702148,2.6284972429275513,3.392602324485779,4.674038112163544,5.437757611274719,5.463642954826355,3.4500465989112854,4.25462681055069,5.550587832927704,7.448437929153442,7.9784369468688965
5,3.3806809186935425,4.04547393321991,5.275199115276337,7.262692213058472,8.319711446762085,3.213927984237671,3.8897706270217896,5.376011073589325,7.081314921379089,7.5056456327438354,3.5578410029411316,4.046035528182983,5.672547936439514,7.417536735534668,8.277636647224426,2.6324281692504883,3.3940348625183105,4.671817243099213,5.436329364776611,5.466462850570679,3.4496018290519714,4.251070261001587,5.5442174077034,7.4359787702560425,7.968268871307373
6,3.3791993260383606,4.042109727859497,5.267615616321564,7.249938726425171,8.306100845336914,3.2149893045425415,3.888164460659027,5.369490206241608,7.070101857185364,7.497466683387756,3.557125210762024,4.043102562427521,5.663912773132324,7.404011964797974,8.265202522277832,2.636352837085724,3.395469009876251,4.669606864452362,5.434913158416748,5.469296813011169,3.4491604566574097,4.247518479824066,5.537852466106415,7.42354142665863,7.958127498626709
7,3.3777143359184265,4.038749516010284,5.260044634342194,7.237206697463989,8.292513608932495,3.21604722738266,3.8865631818771362,5.362982213497162,7.058910012245178,7.489311456680298,3.5564092993736267,4.040180921554565,5.655298590660095,7.390515446662903,8.252800464630127,2.640270948410034,3.3969069719314575,4.667405426502228,5.433509707450867,5.472145438194275,3.448722541332245,4.243971288204193,5.531490862369537,7.4111257791519165,7.948009133338928
8,3.376228630542755,4.035395562648773,5.252490520477295,7.2245001792907715,8.278956413269043,3.2171021699905396,3.884967088699341,5.356490254402161,7.047740936279297,7.481183171272278,3.5556947588920593,4.037271499633789,5.646709322929382,7.377050280570984,8.24043619632721,2.6441826224327087,3.398347496986389,4.665213584899902,5.432118773460388,5.4750083684921265,3.4482900500297546,4.240431010723114,5.525135040283203,7.398733854293823,7.937920928001404
9,3.3747390508651733,4.032044529914856,5.244948983192444,7.21181333065033,8.265422224998474,3.2181538343429565,3.883375406265259,5.350011587142944,7.036592364311218,7.473078966140747,3.5549802780151367,4.034372806549072,5.638141870498657,7.3636122941970825,8.228105187416077,2.6480884552001953,3.3997915983200073,4.663031220436096,5.4307403564453125,5.4778865575790405,3.447861909866333,4.236895322799683,5.518783330917358,7.386362671852112,7.927857279777527
