,par,err
0,2.053660664226605,0.02702798882013779
1,-0.0007954850228954898,7.875247003172805e-05
2,6.521956237651807e-07,9.1531639629742e-08
3,6.92792287476326e-11,5.417761460933701e-11
4,-1.153204495467345e-13,1.7189762343372515e-14
5,3.679191063445029e-17,2.7687759102272854e-18
6,-3.444707729667567e-21,1.7685483193354295e-22
